Course_Code,Credits,Grade,Semester
Eng102,3,W,Fall 2021
Eng102,3,B+,Fall 2022
Eng103,3,A-,Fall 2022
Eng105,3,B,Spring 2023
Eng111,3,A,Fall 2023
Ben205,3,W,Spring 2022
Ben205,3,C+,Fall 2022
His103,3,F,Fall 2021
His103,3,D,Spring 2022
His103,3,B,Fall 2022
Phi104,3,B-,Spring 2023
Pol101,3,A-,Fall 2022
Eco101,3,W,Spring 2023
Eco101,3,B,Fall 2023
Mat116,0,B,Fall 2022
Bio103,3,W,Fall 2021
Bio103,3,F,Spring 2022
Bio103,3,C+,Fall 2022
Bio103L,1,B-,Fall 2022
Phy107,3,D,Spring 2023
Phy107L,1,C+,Spring 2023
Che101,3,B+,Fall 2022
Che101L,1,A-,Fall 2022
CSE115,3,A,Spring 2023
CSE115L,1,A,Spring 2023
CSE215,3,A-,Fall 2023
CSE215L,1,B+,Fall 2023
CSE225,3,A,Spring 2024
CSE231,3,B+,Fall 2024
EEE141,3,A,Fall 2023
EEE141L,1,A-,Fall 2023
EEE111,3,B,Spring 2024
EEE111L,1,B+,Spring 2024
CSE311,3,A-,Fall 2024
CSE323,3,B+,Fall 2024
CSE327,3,A,Spring 2025
CSE331,3,A,Fall 2025
CSE373,3,A-,Spring 2026
CSE332,3,B+,Fall 2026
CSE425,3,A,Spring 2027
CSE299,1,B+,Fall 2023
CSE499A,1.5,B+,Spring 2026
CSE499B,1.5,B+,Fall 2026
CSE498R,1,I,Spring 2027
CSE440,3,W,Fall 2025
CSE440,3,C,Spring 2026
CSE445,3,D+,Fall 2026
CSE445,3,B-,Spring 2027
CSE465,3,W,Fall 2026
CSE465,3,B+,Spring 2027
CSE422,3,A-,Fall 2027
CSE338,3,A,Fall 2027
CSE411,3,W,Spring 2028
CSE411,3,A-,Fall 2028
CSE482,3,B,Spring 2029
CSE438,3,A,Fall 2028
CSE435,3,B+,Spring 2029
Pol104,3,A,Fall 2023
