course_code,course_name,credits,grade,semester
ECO101,Intro to Microeconomics,3,A,Spring2019
ACT201,Intro to Financial Accounting,3,B,Spring2019
MIS107,Introduction to Computers,3,A,Summer2019
MKT202,Introduction to Marketing,3,C,Summer2019
ECO104,Intro to Macroeconomics,3,C+,Fall2019
BUS251,Business Communication,3,C,Fall2019
MIS207,Management Information Systems,3,T,Spring2020
INB372,International Business,3,A,Spring2020
LAW200,Legal Environment of Business,3,C,Spring2020
PHI401,Ethics / Philosophy,3,B+,Summer2020
BEN205,Bengali Literature,3,B+,Summer2020
ACT202,Intro to Managerial Accounting,3,B+,Summer2020
MGT212,Principles of Management,3,T,Summer2020
MGT368,Entrepreneurship,3,B+,Fall2020
POL101,Intro to Political Science,3,C+,Fall2020
ENG103,Intermediate Composition,3,B+,Fall2020
ENV107,Environmental Science,3,B+,Spring2021
ENV107L,Environmental Science Lab,1,T,Spring2021
ANT101,Anthropology,3,B,Spring2021
SOC101,Intro to Sociology,3,B+,Spring2021
BIO103,Biology I,3,B,Spring2021
BIO103L,Biology I Lab,1,B,Spring2021
HIS101,Bangladesh History,3,C+,Summer2021
ACT310,Intermediate Accounting I,3,B,Summer2021
ENG105,Advanced Composition,3,A-,Summer2021
HIS103,History of South Asia,3,B+,Summer2021
ACT430,Accounting Information Systems,3,C+,Fall2021
ACT320,Intermediate Accounting II,3,A-,Fall2021
ACT380,Audit and Assurance,3,B+,Fall2021
ACT370,Taxation,3,A,Fall2021
ACT410,Financial Statement Analysis,3,C,Spring2022
ACT360,Advanced Managerial Accounting,3,B+,Spring2022
