course_code,course_name,credits,grade,semester
EEE141,Electrical Circuits I,3,A-,Fall2019
EEE141L,Electrical Circuits I Lab,1,C+,Fall2019
CSE101,Introduction to Python Programming,3,A,Fall2019
EEE111L,Analog Electronics I Lab,1,A,Fall2019
HIS101,Bangladesh History,3,C,Spring2020
CHE101L,Chemistry I Lab,1,A,Spring2020
EEE111,Analog Electronics I,3,C+,Spring2020
CSE145,Introduction to Artificial Intelligence,3,B-,Summer2020
ENG103,Intermediate Composition,3,B+,Summer2020
HIS102,World Civilization,3,C+,Summer2020
CEE110,Engineering Drawing,1,C,Summer2020
PHY107L,Physics I Lab,1,A-,Fall2020
CSE425,Concepts of Programming Languages,3,B+,Fall2020
CSE299,Junior Design Project,1,B+,Fall2020
CSE215L,Programming Language II Lab,1,A,Fall2020
MIS207,Management Information Systems,3,F,Spring2021
MKT330,Retail Management,3,D+,Spring2021
MIS107,Introduction to Computers,3,A,Spring2021
MKT202,Introduction to Marketing,3,C,Spring2021
MGT368,Entrepreneurship,3,C,Spring2021
MKT337,Promotional Management,3,A,Summer2021
MGT212,Principles of Management,3,B+,Summer2021
MKT417,Export-Import Management,3,C,Summer2021
MKT450,Marketing Channels,3,B-,Fall2021
INB372,International Business,3,C,Fall2021
MKT470,Marketing Research,3,C+,Fall2021
PHI401,Ethics / Philosophy,3,C+,Spring2022
MKT460,Strategic Marketing,3,B,Spring2022
MKT382,International Marketing,3,A-,Spring2022
ECO101,Intro to Microeconomics,3,C,Summer2022
MKT355,Agricultural Marketing,3,B,Summer2022
MKT475,Marketing Analytics,3,D,Summer2022
MKT465,Brand Management,3,D+,Fall2022
MKT445,Sales Management,3,A-,Fall2022
MKT412,Services Marketing,3,B+,Fall2022
MKT344,Consumer Behaviour,3,C-,Fall2022
