course_code,course_name,credits,grade,semester
ECO101,Intro to Microeconomics,3,C,Fall2019
ENG103,Intermediate Composition,3,C,Fall2019
BUS251,Business Communication,3,B+,Fall2019
MKT202,Introduction to Marketing,3,T,Fall2019
LAW200,Legal Environment of Business,3,B,Spring2020
INB372,International Business,3,B+,Spring2020
ECO104,Intro to Macroeconomics,3,A,Spring2020
MGT368,Entrepreneurship,3,T,Summer2020
MGT212,Principles of Management,3,C+,Summer2020
MIS107,Introduction to Computers,3,A,Summer2020
ENG105,Advanced Composition,3,B,Fall2020
MIS207,Management Information Systems,3,C,Fall2020
ACT201,Intro to Financial Accounting,3,T,Fall2020
POL101,Intro to Political Science,3,B,Spring2021
CHN101,Chinese Language,3,T,Spring2021
BEN205,Bengali Literature,3,C,Spring2021
PHI401,Ethics / Philosophy,3,A-,Spring2021
GEO205,Geography,3,B+,Summer2021
SOC101,Intro to Sociology,3,A-,Summer2021
ENV107,Environmental Science,3,B,Summer2021
ENV107L,Environmental Science Lab,1,B+,Summer2021
ANT101,Anthropology,3,T,Summer2021
HIS101,Bangladesh History,3,T,Fall2021
ACT310,Intermediate Accounting I,3,T,Fall2021
ACT202,Intro to Managerial Accounting,3,C+,Fall2021
HIS103,History of South Asia,3,B,Fall2021
