course_code,course_name,credits,grade,semester
MKT202,Introduction to Marketing,3,B-,Fall2021
MIS107,Introduction to Computers,3,C+,Fall2021
BUS251,Business Communication,3,B+,Fall2021
ACT201,Intro to Financial Accounting,3,A-,Fall2021
LAW200,Legal Environment of Business,3,C,Fall2021
MIS207,Management Information Systems,3,B-,Spring2022
ACT202,Intro to Managerial Accounting,3,A,Spring2022
ENG103,Intermediate Composition,3,B,Spring2022
ECO101,Intro to Microeconomics,3,B,Spring2022
MGT212,Principles of Management,3,A,Summer2022
ENG105,Advanced Composition,3,C+,Summer2022
INB372,International Business,3,B,Summer2022
ENG115,English Literature,3,B+,Fall2022
PHI401,Ethics / Philosophy,3,B-,Fall2022
MGT368,Entrepreneurship,3,A,Fall2022
SOC101,Intro to Sociology,3,B,Spring2023
POL101,Intro to Political Science,3,C,Spring2023
GEO205,Geography,3,C+,Spring2023
ECO104,Intro to Macroeconomics,3,C+,Spring2023
PBH101,Public Health,3,B+,Summer2023
PHY107,Physics I,3,B,Summer2023
PHY107L,Physics I Lab,1,C,Summer2023
BIO103,Biology I,3,A-,Summer2023
MGT330,Designing Effective Organizations,3,C-,Fall2023
HIS102,World Civilization,3,B+,Fall2023
HRM370,Managerial Skill Development,3,B,Fall2023
HIS205,Modern History,3,B,Fall2023
HIS101,Bangladesh History,3,A-,Fall2023
