course_code,course_name,credits,grade,semester
LAW200,Legal Environment of Business,3,F,Fall2021
MIS107,Introduction to Computers,3,D+,Fall2021
BUS251,Business Communication,3,D,Fall2021
ACT201,Intro to Financial Accounting,3,D,Fall2021
INB372,International Business,3,D+,Spring2022
ACT202,Intro to Managerial Accounting,3,I,Spring2022
MIS207,Management Information Systems,3,D,Spring2022
ECO101,Intro to Microeconomics,3,F,Spring2022
LAW200,Legal Environment of Business,3,D,Summer2022
MKT202,Introduction to Marketing,3,F,Summer2022
ECO101,Intro to Microeconomics,3,F,Summer2022
MGT212,Principles of Management,3,F,Summer2022
MGT212,Principles of Management,3,D,Fall2022
MKT202,Introduction to Marketing,3,D,Fall2022
PHI401,Ethics / Philosophy,3,C-,Spring2023
ECO101,Intro to Microeconomics,3,I,Spring2023
ECO101,Intro to Microeconomics,3,I,Summer2023
BEN205,Bengali Literature,3,C-,Summer2023
MGT368,Entrepreneurship,3,D,Summer2023
