course_code,course_name,credits,grade,semester
ACT201,Intro to Financial Accounting,3,B,Summer2019
LAW200,Legal Environment of Business,3,A-,Summer2019
INB372,International Business,3,A,Summer2019
MKT202,Introduction to Marketing,3,B+,Summer2019
BUS251,Business Communication,3,B+,Summer2019
ECO101,Intro to Microeconomics,3,C+,Summer2019
ENG103,Intermediate Composition,3,B,Fall2019
MGT212,Principles of Management,3,B+,Fall2019
ECO104,Intro to Macroeconomics,3,B,Fall2019
MIS207,Management Information Systems,3,B-,Fall2019
ENG105,Advanced Composition,3,B,Spring2020
ENG115,English Literature,3,B,Spring2020
ACT202,Intro to Managerial Accounting,3,A-,Spring2020
PHI401,Ethics / Philosophy,3,B+,Spring2020
MIS107,Introduction to Computers,3,A,Spring2020
POL101,Intro to Political Science,3,A-,Summer2020
POL104,Political Science,3,A,Summer2020
SOC101,Intro to Sociology,3,B+,Summer2020
MGT368,Entrepreneurship,3,C+,Summer2020
PHY107,Physics I,3,B+,Fall2020
PSY101,Intro to Psychology,3,A,Fall2020
PSY101L,Psychology Lab,1,B+,Fall2020
PBH101,Public Health,3,B+,Fall2020
PBH101L,Public Health Lab,1,C+,Fall2020
CHE101,Chemistry I,3,B+,Fall2020
CHE101L,Chemistry I Lab,1,A,Fall2020
HIS102,World Civilization,3,B+,Spring2021
HIS205,Modern History,3,B-,Spring2021
SCM320,Procurement and Inventory,3,A-,Spring2021
HIS103,History of South Asia,3,B+,Spring2021
MGT360,Global Supply Chain,3,C+,Summer2021
MGT390,Warehouse Management,3,C+,Summer2021
MGT470,Quality Management,3,B+,Summer2021
MGT460,Logistics Management,3,A-,Summer2021
MGT490,Project Management,3,A,Summer2021
SCM450,Supply Chain Analytics,3,A-,Fall2021
SCM310,Supply Chain Management,3,A-,Fall2021
BUS498,Internship,4,B+,Spring2024
