course_code,course_name,credits,grade,semester
ECO101,Intro to Microeconomics,3,D,Spring2023
BUS251,Business Communication,3,B+,Spring2023
MIS107,Introduction to Computers,3,D,Spring2023
ENG103,Intermediate Composition,3,B,Spring2023
ECO104,Intro to Macroeconomics,3,C+,Summer2023
LAW200,Legal Environment of Business,3,A-,Summer2023
MKT202,Introduction to Marketing,3,C+,Summer2023
MGT212,Principles of Management,3,A-,Summer2023
MIS207,Management Information Systems,3,C+,Summer2023
ACT201,Intro to Financial Accounting,3,B,Fall2023
ENG105,Advanced Composition,3,B-,Fall2023
INB372,International Business,3,B+,Fall2023
ENG115,English Literature,3,D,Spring2024
ACT202,Intro to Managerial Accounting,3,C+,Spring2024
CHN101,Chinese Language,3,B-,Spring2024
BEN205,Bengali Literature,3,B-,Spring2024
MGT368,Entrepreneurship,3,C,Summer2024
PHI401,Ethics / Philosophy,3,A-,Summer2024
SOC101,Intro to Sociology,3,C,Summer2024
PAD201,Public Administration,3,A,Summer2024
BIO103,Biology I,3,C,Fall2024
ENV107,Environmental Science,3,C-,Fall2024
ENV107L,Environmental Science Lab,1,F,Fall2024
PSY101,Intro to Psychology,3,F,Fall2024
PHY107,Physics I,3,B+,Fall2024
PHY107L,Physics I Lab,1,C-,Fall2024
HIS101,Bangladesh History,3,B+,Fall2024
