course_code,course_name,credits,grade,semester
ECO101,Intro to Microeconomics,3,A,Spring2020
MIS107,Introduction to Computers,3,B+,Spring2020
BUS251,Business Communication,3,B,Spring2020
LAW200,Legal Environment of Business,3,A,Spring2020
ACT201,Intro to Financial Accounting,3,A,Spring2020
ACT202,Intro to Managerial Accounting,3,B+,Summer2020
ECO104,Intro to Macroeconomics,3,A-,Summer2020
INB372,International Business,3,A-,Summer2020
MIS207,Management Information Systems,3,B+,Summer2020
MKT202,Introduction to Marketing,3,A,Summer2020
ENG103,Intermediate Composition,3,B-,Summer2020
CHN101,Chinese Language,3,B+,Fall2020
PHI401,Ethics / Philosophy,3,B+,Fall2020
ENG115,English Literature,3,B+,Fall2020
MGT212,Principles of Management,3,A,Fall2020
BEN205,Bengali Literature,3,A,Fall2020
MGT368,Entrepreneurship,3,A,Spring2021
POL104,Political Science,3,B-,Spring2021
ENG105,Advanced Composition,3,B,Spring2021
PAD201,Public Administration,3,A,Spring2021
PHY107,Physics I,3,B-,Summer2021
PHY107L,Physics I Lab,1,A-,Summer2021
ANT101,Anthropology,3,B-,Summer2021
SOC101,Intro to Sociology,3,A,Summer2021
ENV107,Environmental Science,3,B,Summer2021
ENV107L,Environmental Science Lab,1,A-,Summer2021
PSY101,Intro to Psychology,3,B+,Summer2021
PSY101L,Psychology Lab,1,B+,Summer2021
PBH101,Public Health,3,A-,Summer2021
PBH101L,Public Health Lab,1,B,Summer2021
