course_code,course_name,credits,grade,semester
MIS107,Introduction to Computers,3,C+,Spring2021
BUS251,Business Communication,3,A,Spring2021
MKT202,Introduction to Marketing,3,T,Spring2021
ACT201,Intro to Financial Accounting,3,T,Summer2021
MIS207,Management Information Systems,3,C,Summer2021
LAW200,Legal Environment of Business,3,B+,Summer2021
ECO101,Intro to Microeconomics,3,T,Fall2021
MGT212,Principles of Management,3,B,Fall2021
INB372,International Business,3,C,Spring2022
BEN205,Bengali Literature,3,A,Spring2022
MGT368,Entrepreneurship,3,A,Spring2022
ECO104,Intro to Macroeconomics,3,A-,Spring2022
ACT202,Intro to Managerial Accounting,3,B+,Summer2022
POL101,Intro to Political Science,3,A,Summer2022
