course_code,course_name,credits,grade,semester
MKT202,Introduction to Marketing,3,A-,Spring2021
BUS251,Business Communication,3,B,Spring2021
ACT201,Intro to Financial Accounting,3,B,Spring2021
ENG103,Intermediate Composition,3,B,Spring2021
LAW200,Legal Environment of Business,3,C+,Spring2021
MGT368,Entrepreneurship,3,B,Summer2021
INB372,International Business,3,C,Summer2021
MIS207,Management Information Systems,3,B,Summer2021
MIS107,Introduction to Computers,3,B-,Summer2021
ACT202,Intro to Managerial Accounting,3,A,Summer2021
ECO101,Intro to Microeconomics,3,A-,Fall2021
MGT212,Principles of Management,3,B,Fall2021
ENG105,Advanced Composition,3,A,Fall2021
ENG115,English Literature,3,C+,Fall2021
PHI401,Ethics / Philosophy,3,A,Fall2021
CHN101,Chinese Language,3,B-,Fall2021
PAD201,Public Administration,3,C+,Spring2022
POL101,Intro to Political Science,3,B+,Spring2022
POL104,Political Science,3,C+,Spring2022
SOC101,Intro to Sociology,3,A,Spring2022
ECO104,Intro to Macroeconomics,3,B,Spring2022
PSY101,Intro to Psychology,3,A,Summer2022
PSY101L,Psychology Lab,1,B-,Summer2022
PHY107,Physics I,3,A-,Summer2022
PHY107L,Physics I Lab,1,A,Summer2022
BIO103,Biology I,3,B-,Summer2022
BIO103L,Biology I Lab,1,A,Summer2022
HIS101,Bangladesh History,3,B+,Summer2022
HIS102,World Civilization,3,B+,Summer2022
ENV107,Environmental Science,3,A,Summer2022
ENV107L,Environmental Science Lab,1,B,Summer2022
ECO201,Intermediate Microeconomics,3,C+,Fall2022
ECO304,International Economics,3,A,Fall2022
ECO317,Public Economics,3,B,Fall2022
ECO204,Intermediate Macroeconomics,3,B-,Fall2022
ECO328,Econometrics,3,C+,Fall2022
ECO348,Mathematical Economics,3,C,Fall2022
ECO301,Monetary Economics,3,B+,Spring2023
ECO410,Development Economics,3,A,Spring2023
ECO354,Advanced Microeconomics,3,A-,Spring2023
ECO460,International Trade,3,A-,Spring2023
ECO415,Public Finance,3,C+,Spring2023
ECO244,Economic Development,3,A-,Spring2023
BUS498,Internship,4,C+,Summer2024
