course_code,course_name,credits,grade,semester
LAW200,Legal Environment of Business,3,B+,Summer2020
MIS107,Introduction to Computers,3,B,Summer2020
BUS251,Business Communication,3,C,Summer2020
ACT201,Intro to Financial Accounting,3,C,Summer2020
INB372,International Business,3,C,Fall2020
ACT202,Intro to Managerial Accounting,3,B+,Fall2020
ECO101,Intro to Microeconomics,3,B-,Fall2020
MIS207,Management Information Systems,3,A-,Fall2020
BEN205,Bengali Literature,3,C+,Spring2021
MGT368,Entrepreneurship,3,A,Spring2021
PHI401,Ethics / Philosophy,3,A-,Spring2021
MKT202,Introduction to Marketing,3,B+,Spring2021
MGT212,Principles of Management,3,C-,Spring2021
GEO205,Geography,3,A-,Summer2021
POL101,Intro to Political Science,3,C+,Summer2021
SOC101,Intro to Sociology,3,B,Summer2021
PAD201,Public Administration,3,B-,Summer2021
POL104,Political Science,3,A,Summer2021
BIO103,Biology I,3,B-,Fall2021
BIO103L,Biology I Lab,1,C-,Fall2021
PBH101,Public Health,3,B+,Fall2021
PBH101L,Public Health Lab,1,B-,Fall2021
ECO104,Intro to Macroeconomics,3,B-,Fall2021
ENV107,Environmental Science,3,C,Fall2021
HIS103,History of South Asia,3,B-,Spring2022
HIS102,World Civilization,3,B-,Spring2022
INB400,International Trade and Finance,3,A,Spring2022
INB490,Cross-Cultural Management,3,B-,Spring2022
HIS101,Bangladesh History,3,B+,Spring2022
INB350,International Business Negotiation,3,B-,Summer2022
INB480,Global Business Strategy,3,B,Summer2022
INB495,Special Topics in INB,3,C+,Summer2022
INB415,Emerging Markets,3,B-,Summer2022
MKT382,International Marketing,3,B-,Summer2022
INB355,Country Risk Analysis,3,A-,Summer2022
INB450,Global Entrepreneurship,3,A,Fall2022
MKT417,Export-Import Management,3,A,Fall2022
INB410,International Competitiveness,3,B-,Fall2022
BUS498,Internship,4,A-,Fall2024
