course_code,course_name,credits,grade,semester
CSE115,Programming Language I,3,A,Summer2022
CSE115L,Programming Language I Lab,1,A,Summer2022
MAT116,Pre-Calculus,3,A-,Summer2022
BIO103L,Biology I Lab,1,A-,Summer2022
CSE299,Junior Design Project,1,A-,Summer2022
SOC101,Intro to Sociology,3,A,Summer2022
BIO103,Biology I,3,A-,Summer2022
CSE173,Discrete Mathematics,3,A,Fall2022
MAT120,Calculus I,3,A-,Fall2022
CSE215L,Programming Language II Lab,1,C+,Fall2022
CSE225L,Data Structures & Algorithms Lab,1,B+,Fall2022
CSE425,Concepts of Programming Languages,3,A,Fall2022
HIS102,World Civilization,3,A,Fall2022
CSE215,Programming Language II,3,A-,Spring2023
MAT130,Calculus II,3,B,Spring2023
CSE331L,Microprocessor Interfacing Lab,1,A,Spring2023
PHY108L,Physics II Lab,1,A,Spring2023
CHE101L,Chemistry I Lab,1,B+,Spring2023
CSE225,Data Structures & Algorithms,3,A,Summer2023
MAT250,Calculus III,3,B,Summer2023
CSE101,Introduction to Python Programming,3,B,Summer2023
CSE226,Fundamentals of Vibe Coding,3,A-,Summer2023
CSE231,Digital Logic Design,3,B+,Fall2023
CSE231L,Digital Logic Design Lab,1,B+,Fall2023
CHE101,Chemistry I,3,A-,Fall2023
CSE145,Introduction to Artificial Intelligence,3,A,Fall2023
CSE331,Microprocessor Interfacing,3,A,Fall2023
POL101,Intro to Political Science,3,A-,Fall2023
