course_code,course_name,credits,grade,semester
MKT202,Introduction to Marketing,3,B,Spring2022
ACT201,Intro to Financial Accounting,3,D,Spring2022
LAW200,Legal Environment of Business,3,C,Summer2022
MIS107,Introduction to Computers,3,D,Summer2022
ACT202,Intro to Managerial Accounting,3,C-,Summer2022
MIS207,Management Information Systems,3,C,Fall2022
ECO101,Intro to Microeconomics,3,C-,Fall2022
BUS251,Business Communication,3,C-,Spring2023
INB372,International Business,3,C-,Spring2023
MGT368,Entrepreneurship,3,C,Summer2023
MGT212,Principles of Management,3,D+,Fall2023
ECO104,Intro to Macroeconomics,3,C+,Fall2023
PHI401,Ethics / Philosophy,3,F,Fall2023
PHI401,Ethics / Philosophy,3,D+,Spring2024
ENG115,English Literature,3,D,Spring2024
POL104,Political Science,3,D+,Summer2024
PAD201,Public Administration,3,B-,Summer2024
