course_code,course_name,credits,grade,semester
MAT120,Calculus I,3,F,Spring2019
CSE115,Programming Language I,3,C-,Spring2019
ENV203,Environmental Studies,3,F,Spring2019
CSE173,Discrete Mathematics,3,C-,Summer2019
MAT120,Calculus I,3,D,Summer2019
CSE231L,Digital Logic Design Lab,1,F,Summer2019
CSE145,Introduction to Artificial Intelligence,3,D,Summer2019
CSE215,Programming Language II,3,F,Fall2019
MAT130,Calculus II,3,D+,Fall2019
HIS101,Bangladesh History,3,F,Fall2019
CSE311L,Database Management Systems Lab,1,D+,Fall2019
CSE215,Programming Language II,3,I,Spring2020
MAT250,Calculus III,3,D,Spring2020
ENG105,Advanced Composition,3,F,Spring2020
CSE215,Programming Language II,3,D+,Summer2020
CSE215L,Programming Language II Lab,1,C-,Summer2020
MAT350,Complex Variables,3,D,Summer2020
CSE225,Data Structures & Algorithms,3,D,Fall2020
CSE225L,Data Structures & Algorithms Lab,1,C-,Fall2020
CSE225L,Data Structures & Algorithms Lab,1,D,Fall2020
PHY107,Physics I,3,D,Fall2020
PHY107L,Physics I Lab,1,D,Fall2020
