course_code,course_name,credits,grade,semester
ENG103,Intermediate Composition,3,W,Spring2019
MKT202,Introduction to Marketing,3,W,Spring2019
MKT202,Introduction to Marketing,3,W,Summer2019
ECO101,Intro to Microeconomics,3,W,Summer2019
MKT202,Introduction to Marketing,3,W,Fall2019
MIS107,Introduction to Computers,3,W,Fall2019
ECO101,Intro to Microeconomics,3,C+,Fall2019
MIS107,Introduction to Computers,3,B,Spring2020
ECO104,Intro to Macroeconomics,3,W,Spring2020
ENG103,Intermediate Composition,3,F,Spring2020
ACT201,Intro to Financial Accounting,3,W,Summer2020
ACT201,Intro to Financial Accounting,3,C+,Fall2020
MKT202,Introduction to Marketing,3,B+,Spring2021
ENG103,Intermediate Composition,3,W,Summer2021
BUS251,Business Communication,3,W,Summer2021
ECO104,Intro to Macroeconomics,3,W,Fall2021
ACT202,Intro to Managerial Accounting,3,F,Fall2021
LAW200,Legal Environment of Business,3,C,Fall2021
BUS251,Business Communication,3,C,Spring2022
ECO104,Intro to Macroeconomics,3,B,Spring2022
ENG103,Intermediate Composition,3,W,Summer2022
ACT202,Intro to Managerial Accounting,3,B,Summer2022
ENG103,Intermediate Composition,3,B+,Fall2022
MGT212,Principles of Management,3,W,Spring2023
INB372,International Business,3,D,Summer2023
MGT368,Entrepreneurship,3,A,Fall2023
MIS207,Management Information Systems,3,C+,Fall2023
MGT212,Principles of Management,3,B+,Fall2023
PHI401,Ethics / Philosophy,3,B,Spring2024
ENG115,English Literature,3,B,Spring2024
